,sample_name,Collection date,Season,Sample type,Depth (m),Depth group,Temperature (C),Salinity (PSU),ChlA (ug/L),O2 (mL/L),Latitude,Longitude,DNA concentration (ng/uL),Volume filtered (mL),DNA yield (ng/uL),16S_raw_reads,18S_raw_reads,12S_raw_reads,COI_raw_reads,COI_processed_reads,18S_processed_reads,12S_processed_reads,16S_processed_reads
1,20190226_EB,NA,NA,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,289,NA,NA,NA,NA,NA,NA,NA
2,CN18FBN1pre,NA,Fall,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,0.1,413,NA,NA,NA,289,3688,252,378
3,CN18FBN1pst,NA,Fall,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,3.491,6290,NA,NA,NA,125421,89910,31683,5421
4,CN18FBN2pre,NA,Fall,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,0.602,133,NA,NA,NA,84,19746,298,83
5,CN18FBN2pst,NA,Fall,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,0.369,1262,NA,NA,NA,103220,82268,6484,1084
6,CN18FBN3pre,NA,Fall,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,3.311,175,NA,NA,NA,136128,6307,198,144
7,CN18FBN3pst,NA,Fall,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,0.1,457,NA,NA,NA,18028,66786,2525,393
8,CN18Fc12_8_eDNA,43350,Fall,CTD,30,21-40,13.0777,33.6197,0.5466,4.21222,36.9848,-122.519,NA,1000,28.6,4737,80761,123649,48424,42119,31854,17122,3962
9,CN18Fc19_5_eDNA,43351,Fall,CTD,40,21-40,12.2474,33.6459,0.5927,4.17266,36.9937,-122.468,NA,1000,42.665,48747,87551,NA,81899,67727,52419,NA,40910
10,CN18Fc21_6_eDNA,43351,Fall,CTD,25,21-40,11.9639,33.6603,0.5054,3.70764,36.9898,-122.468,NA,1000,33.205,69920,118613,75444,80673,68169,55377,15203,63056
11,CN18Fc22_6_eDNA,43351,Fall,CTD,35,21-40,12.0074,33.653,0.5684,3.83292,37.006,-122.467,NA,1000,37.866,56999,109187,132394,97622,82057,57473,51010,49932
12,CN18Fc24_6_eDNA,43351,Fall,CTD,25,21-40,12.6991,33.6345,0.6631,4.20261,37.0077,-122.449,NA,1000,41.112,55901,111814,148707,94089,80879,70670,53347,51209
13,CN18Fc25_5_eDNA,43351,Fall,CTD,30,21-40,11.9917,33.6663,0.5148,3.76339,37.0127,-122.441,NA,1000,27.437,107272,90329,75404,90926,75408,49482,16656,97924
14,CN18Fc27_4_eDNA,43352,Fall,CTD,45,21-40,12.041,33.6555,0.5547,3.83267,37.0052,-122.419,NA,1000,42.546,1815,92169,113616,79047,68476,55171,47141,1397
15,CN18Fc29_6_eDNA,43352,Fall,CTD,30,21-40,11.9631,33.6561,0.5516,3.82225,36.9977,-122.413,NA,1000,12.344,76120,124635,101495,93429,80935,64593,41375,68903
16,CN18Fc30_4_eDNA,43352,Fall,CTD,40,21-40,11.7004,33.6699,0.4768,3.65703,36.9977,-122.417,NA,1000,18.471,70741,104695,77993,83559,75450,59700,30088,64424
17,CN18Fc32_4_eDNA,43352,Fall,CTD,40,21-40,11.3054,33.6943,0.4463,3.38028,36.9973,-122.408,NA,1000,34.726,22680,44705,85707,131447,117954,20027,21966,20364
18,CN18Fc33_5_eDNA,43352,Fall,CTD,35,21-40,12.0082,33.6583,0.5379,3.74775,36.9898,-122.406,NA,1000,26.878,75950,81543,112605,113249,92967,45607,25469,68807
19,CN18Fc35_5_eDNA,43352,Fall,CTD,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,25.678,3,49505,143645,144168,126846,23648,39873,1
20,CN18Fc36_6_eDNA,43352,Fall,CTD,20,0-20,11.9012,33.6626,0.5217,3.67785,37.0012,-122.376,NA,1000,28.626,65411,94445,175448,132973,114194,59839,57359,56025
21,CN18Fc38_5_eDNA,43353,Fall,CTD,30,21-40,11.935,33.6595,0.5379,3.76176,36.9742,-122.353,NA,1000,35.74,69750,68470,105120,116119,99543,40490,27851,62757
22,CN18Fc40_6_eDNA,43353,Fall,CTD,25,21-40,11.9644,33.6603,0.5535,3.79945,36.9662,-122.344,NA,1000,44.243,72986,108342,133901,122060,102595,68041,45656,66308
23,CN18Fc41_6_eDNA,43353,Fall,CTD,25,21-40,11.8992,33.6606,0.5447,3.80826,36.9607,-122.342,NA,1000,34.641,61310,125636,81586,123520,105415,69490,24722,53574
24,CN18Fc43_5_eDNA,43353,Fall,CTD,30,21-40,11.9055,33.6614,0.5379,3.77034,36.9545,-122.337,NA,1000,33.463,70320,86825,108523,80862,68591,43030,27482,63085
25,CN18Fc44_8_eDNA,43353,Fall,CTD,20,0-20,12.0207,33.658,0.6076,3.79052,36.9543,-122.333,NA,1000,23.846,65630,70707,191763,102340,91548,36215,52303,58686
26,CN18Fc46_8_eDNA,43353,Fall,CTD,10,0-20,12.1808,33.6471,1.144,3.9313,36.9405,-122.294,NA,1000,74.989,55619,55207,145875,104328,85927,42474,40129,49140
27,CN18Fc47_6_eDNA,43353,Fall,CTD,25,21-40,12.0166,33.658,0.6201,3.7526,36.9267,-122.293,NA,1000,47.391,52211,44808,NA,95998,83219,33842,NA,45502
28,CN18Fc49_6_eDNA,43354,Fall,CTD,25,21-40,12.3599,33.6303,1.1272,4.04826,36.927,-122.284,NA,1000,70.789,57789,61472,NA,104382,86790,45721,NA,49142
29,CN18Fc51_5_eDNA,43354,Fall,CTD,35,21-40,11.9796,33.6506,0.7752,3.97222,36.9175,-122.274,NA,1000,49.694,60861,82848,NA,96115,80529,57717,NA,38225
30,CN18FESPkoa_SC1,43360,Fall,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,14.3,80692,NA,NA,NA,110583,64423,43090,21529
31,CN18FESPkoa_SC24,43354,Fall,ESP,35,21-40,15.9134,33.6249,2.9076,5.77847,36.91512386,-122.2735706,NA,1000,31.574,46771,149650,117644,93560,81287,99632,41444,40004
32,CN18FESPkoa_SC26,43354,Fall,ESP,27,21-40,6.2755,34.1815,0.4158,0.60312,36.92273,-122.2823776,NA,1000,38.619,69667,74111,109849,118527,101830,45794,29691,62990
33,CN18FESPkoa_SC29,43353,Fall,ESP,22,21-40,9.843,33.8681,0.4083,2.29363,36.92986729,-122.2888613,NA,1000,118.738,60768,126733,188296,101790,88847,90730,66197,50958
34,CN18FESPkoa_SC30,43353,Fall,ESP,13,0-20,11.3495,33.688,0.4463,3.38629,36.94470712,-122.2957471,NA,1000,34.877,40888,117585,89963,144909,116363,80842,23870,36377
35,CN18FESPkoa_SC31,43353,Fall,ESP,19,0-20,11.9771,33.6611,0.5379,3.70583,36.95543702,-122.3157168,NA,1000,28.676,85064,106180,115425,120854,104954,47778,32170,77498
36,CN18FESPkoa_SC32,43353,Fall,ESP,35,21-40,12.634,33.6362,0.9627,4.07814,36.95459369,-122.3317888,NA,1000,30.149,63940,131923,174757,139682,123848,47496,67092,54327
37,CN18FESPkoa_SC34,43353,Fall,ESP,25,21-40,14.7939,33.5917,2.4559,6.12305,36.95682604,-122.3381328,NA,1000,26.528,65490,142600,161995,145980,127501,56329,50145,58498
38,CN18FESPkoa_SC35,43353,Fall,ESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,36.662,0,130690,171525,129285,113116,43996,60232,0
39,CN18FESPkoa_SC37,43353,Fall,ESP,31,21-40,14.9359,33.5854,2.5326,6.1437,36.97408736,-122.3493283,NA,1000,32.382,33782,162808,120936,114122,98024,81638,40234,29484
40,CN18FESPkoa_SC40,43352,Fall,ESP,25,21-40,10.4159,33.7547,0.4239,2.82726,36.99802134,-122.3665361,NA,1000,29.1,85772,146040,132610,106167,93970,82308,49339,78706
41,CN18FESPkoa_SC41,43352,Fall,ESP,28,21-40,10.7763,33.7188,0.4463,3.07529,37.00412075,-122.3806972,NA,1000,23.293,78987,154128,116544,105494,93760,66822,43645,70159
42,CN18FESPkoa_SC43,43352,Fall,ESP,32,21-40,11.6593,33.675,0.5908,3.75907,36.99387104,-122.4028284,NA,1000,25.838,77523,126960,113490,109259,91909,62359,38729,69344
43,CN18FESPkoa_SC44,43352,Fall,ESP,37,21-40,12.4462,33.6599,0.7933,4.1891,36.99754351,-122.4062833,NA,1000,25.287,68243,131349,153053,111668,97069,46076,55964,60550
44,CN18FESPkoa_SC46,43352,Fall,ESP,39,21-40,13.8335,33.5973,1.2268,5.09113,37.00215021,-122.416689,NA,1000,28.612,65483,153209,106918,111479,91790,58508,42629,59732
45,CN18FESPkoa_SC47,43352,Fall,ESP,29,21-40,15.1205,33.5831,4.4793,6.54392,36.99733801,-122.4174894,NA,1000,13.641,62536,83430,94354,81107,70318,33069,37520,55338
46,CN18FESPkoa_SC49,43352,Fall,ESP,48,41-50,8.7091,34.0189,0.4071,1.59598,37.00071314,-122.4158052,NA,1000,34.429,75136,98572,113645,102233,87533,44546,46241,63419
47,CN18FESPkoa_SC52,43351,Fall,ESP,28,21-40,10.6724,33.7395,0.4164,3.04069,37.01585975,-122.4417113,NA,1000,27.367,78464,95515,184829,88314,75736,42678,82573,72834
48,CN18FESPkoa_SC53,43351,Fall,ESP,34,21-40,11.1575,33.7096,0.4488,3.31673,37.00982512,-122.4511858,NA,1000,25.456,79545,160473,135452,164737,138563,69308,81198,71247
49,CN18FESPkoa_SC55,43351,Fall,ESP,35,21-40,12.866,33.6048,0.7372,4.83446,37.00454691,-122.4667104,NA,1000,24.093,44295,145085,142558,NA,67708,40500,50210,41397
50,CN18FESPkoa_SC56,43351,Fall,ESP,38,21-40,13.3439,33.5828,1.1864,5.16034,37.00067151,-122.4676331,NA,1000,31.012,72457,109355,147324,136372,118489,34955,55481,63172
51,CN18FESPkoa_SC57,43351,Fall,ESP,35,21-40,14.0068,33.5897,1.319,5.21485,36.99549543,-122.4682857,NA,1000,26.838,60499,120179,143563,140795,119438,40782,24438,55085
52,CN18FESPkoa_SC58,43350,Fall,ESP,29,21-40,15.5854,33.5847,3.0004,6.63911,36.99277552,-122.5244916,NA,1000,28.2,71860,145500,166570,125589,110346,42694,20847,64655
53,CN18FESPkoa_SC59,NA,Fall,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,3.2,73,NA,NA,NA,158939,661,429,47
54,CN18S_koa3G_BN1pst,43262,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,8.773,881,NA,NA,NA,1262,46897,120788,525
55,CN18S_koa3G_BN1pre,43252,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1.694,563,NA,NA,NA,39717,85998,158,487
56,CN18S_koa3G_BN2pst,43262,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,7.124,2994,NA,NA,NA,20886,74386,7520,1585
57,CN18S_koa3G_BN2pre,43252,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,13.768,219,NA,NA,NA,25234,65350,89883,189
58,CN18S_koa3G_BN3pst,43262,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,4.074,3234,NA,NA,NA,115063,68707,76731,1859
59,CN18S_koa3G_BN3pre,43252,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1.929,165,NA,NA,NA,38064,60853,52,144
60,CN18S_koa3G_SC29,43262,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,0.1,7204,NA,NA,NA,87019,22758,3288,4287
61,CN18S_koa3G_SC30,43262,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,7.7,15210,NA,NA,NA,80534,14971,1687,10083
62,CN18S_koa3G_SC31,43262,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,2.2,54221,NA,NA,NA,127141,46226,2912,40428
63,CN18S_koa3G_SC57,43252,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,2,194,NA,NA,NA,1119,13655,110,163
64,CN18S_koa3G_SC58,43252,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,2.3,186,NA,NA,NA,40521,25819,93,155
65,CN18S_koa3G_SC59,43252,Spring,NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,10.6,279,NA,NA,NA,86889,16178,3690,231
66,CN18Sc09_2_eDNA,43257,Spring,CTD,200,195-200,8.4613,34.0447,0.044485714,1.79102,36.983,-122.52,NA,1000,21.3,71805,NA,104414,85211,65696,25047,39104,51571
67,CN18Sc10_2_eDNA,43257,Spring,CTD,200,195-200,8.4878,34.0568,0.042508571,1.71053,36.983,-122.52,NA,1000,16.1,74210,44349,92961,105988,80648,17583,23571,54866
68,CN18Sc14_2_eDNA,43258,Spring,CTD,195,195-200,8.3564,34.0504,0.043793714,1.78734,36.983,-122.52,NA,1000,17.7,93810,56906,92194,102097,68493,20199,26731,65153
69,CN18Sc14_8_eDNA,43258,Spring,CTD,30,21-40,10.0097,33.7876,0.632685714,3.37559,36.983,-122.52,NA,1000,17.5,56171,38557,119182,55531,43553,18111,41898,43668
70,CN18Sc15_2_eDNA,43258,Spring,CTD,195,195-200,8.5451,34.0481,0.05536,1.74591,36.983,-122.53,NA,1000,13.9,73904,41862,97972,65474,46167,16995,5912,54177
71,CN18Sc15_8_eDNA,43258,Spring,CTD,30,21-40,10.9701,33.7886,4.942857143,5.02883,36.983,-122.53,NA,1000,107.9,51742,55115,113673,88957,75237,40857,29688,40797
72,CN18Sc18_2_eDNA,43259,Spring,CTD,200,195-200,8.5901,33.9981,0.070188571,2.05723,36.983,-122.52,NA,1000,20.4,79520,57846,135201,52739,39193,23254,60432,57279
73,CN18Sc18_8_eDNA,43259,Spring,CTD,30,21-40,10.5804,33.7643,0.632685714,3.92993,36.983,-122.52,NA,1000,27.8,80060,13504,85736,66095,52985,7570,17280,63826
74,CN18Sc27_2_eDNA,43259,Spring,CTD,200,195-200,7.8489,34.1077,0.033611429,1.43017,36.983,-122.52,NA,1000,14,79289,60682,123317,58692,44275,25492,51539,58209
75,CN18Sc27_8_eDNA,43259,Spring,CTD,30,21-40,10.5551,33.7606,1.423542857,4.07827,36.983,-122.52,NA,1000,48.2,55603,12896,39703,74929,60531,8323,4452,45675
76,CN18SESPkoa_SC36,43259,Spring,ESP,30,21-40,10.26982819,33.77007034,0.474012862,4.385419519,36.983,-122.52,NA,1000,35.8,369891,74295,115247,87898,74608,45669,18589,274032
77,CN18SESPkoa_SC37,43259,Spring,ESP,200,195-200,8.288688442,34.08066089,0.080833281,1.975259282,36.983,-122.52,NA,1000,16.1,61911,10706,141711,99754,69330,3987,52133,45946
78,CN18SESPkoa_SC39,43258,Spring,ESP,30,21-40,10.86568478,33.73652772,1.465760174,5.203633739,36.983,-122.52,NA,1000,67.7,56281,31748,79231,69906,58459,22588,7728,40804
79,CN18SESPkoa_SC40,43258,Spring,ESP,200,195-200,8.27519063,34.08876802,0.105150356,1.926070169,36.983,-122.52,NA,1000,13.3,67023,34005,84904,79379,64520,12793,23640,49937
80,CN18SESPkoa_SC41,43258,Spring,ESP,30,21-40,11.03750838,33.80190099,1.700372405,6.052118077,36.983,-122.52,NA,1000,69.3,60768,20397,70492,83633,71582,15046,4682,44440
81,CN18SESPkoa_SC42,43258,Spring,ESP,200,195-200,8.57032722,34.02819963,0.080470672,2.323526505,36.983,-122.52,NA,1000,6.5,72790,40055,143076,89699,72179,14254,71727,56767
82,CN18SESPkoa_SC44,43258,Spring,ESP,30,21-40,11.01622571,33.7998778,1.747639134,6.145907252,36.983,-122.52,NA,1000,108.4,4647,48239,73667,71392,60312,33765,9045,4037
83,CN18SESPkoa_SC45,43258,Spring,ESP,200,195-200,8.418864762,34.06005362,0.085174884,2.122532881,36.983,-122.52,NA,1000,16,69551,30398,118316,69456,53530,10403,21720,50246
84,CN18SESPkoa_SC47,43257,Spring,ESP,200,195-200,8.405669543,34.0578001,0.079528255,2.144559356,36.983,-122.52,NA,1000,6.9,75153,50551,139449,113901,88117,17455,50471,58218
85,CN18SESPkoa_SC49,43257,Spring,ESP,200,195-200,8.391116438,34.06403946,0.08075001,2.093012776,36.983,-122.52,NA,1000,7.6,71039,35530,117680,121448,84379,10957,47758,53639